npy,clase,split,marco,ventana,clip_origen
hurto__02-13-21-13-55 camara 0 - 55-994.npy,hurto,train,1.009,(609, 118, 833, 342),02-13-21-13-55 camara 0 - 55-994.mp4
hurto__02-13-21-13-56 camara 1 - 56-919.npy,hurto,train,1.006,(762, 149, 978, 365),02-13-21-13-56 camara 1 - 56-919.mp4
hurto__02-13-21-14-27 camara 0 - 27-795.npy,hurto,train,1.003,(627, 133, 874, 380),02-13-21-14-27 camara 0 - 27-795.mp4
hurto__02-13-21-14-28 camara 1 - 28-695.npy,hurto,train,1.028,(736, 155, 985, 404),02-13-21-14-28 camara 1 - 28-695.mp4
hurto__02-13-21-14-46 camara 0 - 46-662.npy,hurto,train,1.093,(847, 101, 1073, 327),02-13-21-14-46 camara 0 - 46-662.mp4
hurto__02-13-21-15-17 camara 1 - 17-716.npy,hurto,train,1.081,(976, 170, 1224, 418),02-13-21-15-17 camara 1 - 17-716.mp4
hurto__02-13-21-15-18 camara 0 - 18-508.npy,hurto,train,1.032,(877, 125, 1110, 358),02-13-21-15-18 camara 0 - 18-508.mp4
hurto__02-13-21-15-19 camara 2 - 19-281.npy,hurto,train,1.066,(475, 243, 907, 675),02-13-21-15-19 camara 2 - 19-281.mp4
hurto__02-13-21-15-43 camara 2 - 43-035.npy,hurto,val,1.073,(424, 256, 912, 744),02-13-21-15-43 camara 2 - 43-035.mp4
normal__02-13-21-15-49 camara 0 - 49-365.npy,normal,train,1.077,(857, 111, 1084, 338),02-13-21-15-49 camara 0 - 49-365.mp4
normal__02-13-21-15-50 camara 1 - 50-130.npy,normal,train,1.014,(990, 167, 1206, 383),02-13-21-15-50 camara 1 - 50-130.mp4
hurto__02-13-21-16-01 camara 0 - 01-915.npy,hurto,train,1.033,(859, 116, 1075, 332),02-13-21-16-01 camara 0 - 01-915.mp4
normal__02-13-21-16-02 camara 1 - 02-670.npy,normal,train,1.028,(990, 166, 1209, 385),02-13-21-16-02 camara 1 - 02-670.mp4
normal__02-13-21-16-03 camara 2 - 03-437.npy,normal,train,1.004,(502, 290, 936, 724),02-13-21-16-03 camara 2 - 03-437.mp4
normal__02-13-21-16-26 camara 0 - 26-926.npy,normal,train,1.039,(621, 112, 851, 342),02-13-21-16-26 camara 0 - 26-926.mp4
normal__02-13-21-16-52 camara 0 - 52-196.npy,normal,train,1.051,(610, 182, 917, 489),02-13-21-16-52 camara 0 - 52-196.mp4
normal__02-13-21-17-59 camara 3 - 59-655.npy,normal,train,1.09,(722, 145, 1073, 496),02-13-21-17-59 camara 3 - 59-655.mp4
hurto__02-13-21-18-18 camara 2 - 18-108.npy,hurto,train,1.084,(831, 101, 1193, 463),02-13-21-18-18 camara 2 - 18-108.mp4
normal__02-13-21-20-20 camara 3 - 20-706.npy,normal,train,1.086,(496, 113, 772, 389),02-13-21-20-20 camara 3 - 20-706.mp4
normal__02-13-21-20-26 camara 3 - 26-852.npy,normal,train,1.038,(503, 117, 769, 383),02-13-21-20-26 camara 3 - 26-852.mp4
normal__02-13-21-20-27 camara 2 - 27-596.npy,normal,val,1.027,(541, 84, 822, 365),02-13-21-20-27 camara 2 - 27-596.mp4
hurto__02-13-21-21-28 camara 2 - 28-440.npy,hurto,train,1.091,(818, 39, 1116, 337),02-13-21-21-28 camara 2 - 28-440.mp4
normal__02-13-21-21-46 camara 1 - 46-913.npy,normal,train,1.092,(934, 190, 1229, 485),02-13-21-21-46 camara 1 - 46-913.mp4
hurto__02-13-21-21-47 camara 0 - 47-705.npy,hurto,train,1.002,(906, 149, 1162, 405),02-13-21-21-47 camara 0 - 47-705.mp4
normal__02-13-21-22-48 camara 1 - 48-558.npy,normal,train,1.01,(993, 171, 1241, 419),02-13-21-22-48 camara 1 - 48-558.mp4
normal__02-13-21-23-51 camara 0 - 51-993.npy,normal,train,1.065,(920, 159, 1205, 444),02-13-21-23-51 camara 0 - 51-993.mp4
hurto__02-13-21-23-51 camara 1 - 51-139.npy,hurto,train,1.085,(933, 204, 1235, 506),02-13-21-23-51 camara 1 - 51-139.mp4
normal__02-13-21-23-52 camara 2 - 52-787.npy,normal,val,1.05,(506, 126, 856, 476),02-13-21-23-52 camara 2 - 52-787.mp4
hurto__02-13-21-23-57 camara 1 - 57-640.npy,hurto,val,1.092,(923, 203, 1225, 505),02-13-21-23-57 camara 1 - 57-640.mp4
normal__02-13-21-23-58 camara 0 - 58-411.npy,normal,train,1.038,(898, 165, 1164, 431),02-13-21-23-58 camara 0 - 58-411.mp4
normal__02-13-21-23-59 camara 3 - 59-250.npy,normal,train,1.092,(413, 151, 729, 467),02-13-21-23-59 camara 3 - 59-250.mp4
normal__02-13-21-24-00 camara 2 - 00-007.npy,normal,train,1.057,(520, 127, 864, 471),02-13-21-24-00 camara 2 - 00-007.mp4
normal__02-13-21-24-29 camara 1 - 29-232.npy,normal,train,1.007,(815, 136, 1018, 339),02-13-21-24-29 camara 1 - 29-232.mp4
hurto__02-13-21-24-30 camara 0 - 30-087.npy,hurto,train,1.019,(645, 105, 856, 316),02-13-21-24-30 camara 0 - 30-087.mp4
normal__02-13-21-24-35 camara 0 - 35-540.npy,normal,train,1.077,(640, 99, 864, 323),02-13-21-24-35 camara 0 - 35-540.mp4
hurto__02-13-21-24-41 camara 0 - 41-834.npy,hurto,train,1.084,(641, 98, 866, 323),02-13-21-24-41 camara 0 - 41-834.mp4
normal__02-13-21-24-42 camara 1 - 42-726.npy,normal,train,1.086,(807, 127, 1027, 347),02-13-21-24-42 camara 1 - 42-726.mp4
normal__02-13-21-25-00 camara 3 - 00-503.npy,normal,train,1.047,(613, 248, 1032, 667),02-13-21-25-00 camara 3 - 00-503.mp4
normal__02-13-21-27-03 camara 3 - 03-075.npy,normal,train,1.083,(455, 138, 740, 423),02-13-21-27-03 camara 3 - 03-075.mp4
hurto__02-13-21-27-59 camara 1 - 59-152.npy,hurto,train,1.023,(958, 191, 1224, 457),02-13-21-27-59 camara 1 - 59-152.mp4
normal__02-13-21-28-11 camara 2 - 11-392.npy,normal,train,1.03,(500, 225, 948, 673),02-13-21-28-11 camara 2 - 11-392.mp4
normal__02-13-21-28-12 camara 1 - 12-263.npy,normal,train,1.044,(968, 167, 1212, 411),02-13-21-28-12 camara 1 - 12-263.mp4
hurto__02-13-21-28-17 camara 0 - 17-711.npy,hurto,val,1.074,(849, 122, 1087, 360),02-13-21-28-17 camara 0 - 17-711.mp4
hurto__02-13-21-28-24 camara 1 - 24-110.npy,hurto,train,1.047,(966, 173, 1202, 409),02-13-21-28-24 camara 1 - 24-110.mp4
hurto__02-13-21-28-30 camara 0 - 30-560.npy,hurto,train,1.078,(847, 119, 1087, 359),02-13-21-28-30 camara 0 - 30-560.mp4
hurto__02-13-21-28-36 camara 0 - 36-947.npy,hurto,train,1.034,(854, 124, 1084, 354),02-13-21-28-36 camara 0 - 36-947.mp4
normal__02-13-21-28-49 camara 2 - 49-290.npy,normal,train,1.043,(451, 353, 955, 857),02-13-21-28-49 camara 2 - 49-290.mp4
hurto__02-13-21-28-55 camara 2 - 55-586.npy,hurto,train,1.093,(509, 375, 1015, 881),02-13-21-28-55 camara 2 - 55-586.mp4
normal__02-13-21-28-56 camara 1 - 56-460.npy,normal,train,1.079,(991, 151, 1208, 368),02-13-21-28-56 camara 1 - 56-460.mp4
normal__02-13-21-28-57 camara 0 - 57-270.npy,normal,train,1.075,(839, 101, 1056, 318),02-13-21-28-57 camara 0 - 57-270.mp4
